 Sequence WAVE             ION              INTENS
 -------- ---------------- ---------------- ------
        1        3020.6392 FeI                   0
        2        3024.0325 FeI                   2
        3        3037.3887 FeI                   3
        4        3047.6042 FeI                   5
        5        3057.4456 FeI                   5
        6        3059.0857 FeI                   5
        7        3187.7450 HEI                   6
        8        3225.7849 FeI                   1
        9        3307.2283 ARII                  0
       10        3319.3446 ARI                   0
       11        3350.9243 ARII                  5
       12        3376.4359 ARII                  5
       13        3388.5309 ARII                  7
       14        3399.3335 FeI                   8
       15        3404.3535 FeI                   0
       16        3407.4585 FeI                   0
       17        3413.1311 FeI                   4
       18        3427.1191 FeI                  10
       19        3443.8762 FeI                   0
       20        3454.0952 ARII                 35
       21        3465.8604 FeI                  13
       22        3475.4500 FeI                  18
       23        3476.7017 FeI                   0
       24        3476.7474 ARII                  0
       25        3490.5737 FeI                   0
       26        3491.2900 ARII                 70
       27        3514.3877 ARII                  0
       28        3520.5000 NeI                 164
       29        3541.0833 FeI                  60
       30        3545.7370 ARII                 60
       31        3565.3787 FeI                   0
       32        3576.6156 ARII                  0
       33        3581.1924 FeI                   0
       34        3588.4407 ARII                719
       35        3608.8586 FeI                 176
       36        3618.7676 FeI                   0
       37        3631.4629 FeI                   0
       38        3639.8330 AR I                407
       39        3647.8423 FeI                 344
       40        3679.9131 FeI                 454
       41        3687.4563 FeI                 454
       42        3705.5657 FeI                   0
       43        3709.2458 FeI                   0
       44        3718.2065 AR I               5949
       45        3719.9346 FeI                5949
       46        3722.5625 FeI                5949
       47        3727.6187 FeI                5949
       48        3729.3079 AR I                  0
       49        3733.3169 FeI                3347
       50        3734.8635 FeI                   0
       51        3737.1313 FeI                   0
       52        3737.8889 AR I                  0
       53        3745.5608 FeI                4370
       54        3748.2617 FeI                4344
       55        3749.4846 FeI                4344
       56        3758.2324 FeI                3359
       57        3763.7886 FeI                   0
       58        3765.5054 AR I                  0
       59        3767.1914 FeI                   0
       60        3780.8389 AR I                237
       61        3803.1724 AR I                  0
       62        3809.4561 AR I                  0
       63        3812.9641 FeI                   0
       64        3815.8396 FeI                   0
       65        3819.6072 HE I               2690
       66        3820.4250 FeI                2690
       67        3824.4436 FeI                2690
       68        3825.8806 FeI                2690
       69        3826.8071 AR I               2690
       70        3827.8225 FeI                2690
       71        3834.2222 FeI                2690
       72        3834.6787 AR I               2690
       73        3850.5813 AR I                  0
       74        3856.3716 FeI                5141
       75        3859.9114 FeI                5141
       76        3868.5283 AR I               5141
       77        3878.5730 FeI                   0
       78        3886.2820 FeI                4038
       79        3888.6460 HE I               4038
       80        3895.6558 FeI                4038
       81        3899.7073 FeI                   0
       82        3902.9453 FeI                   0
       83        3906.4795 FeI                   0
       84        3914.7676 AR I                747
       85        3920.2578 FeI                3687
       86        3922.9116 FeI                3687
       87        3928.6233 AR I               3687
       88        3930.2961 FeI                3687
       89        3948.9788 AR I               2357
       90        3964.7290 HE I                848
       91        3969.2571 FeI                1112
       92        3974.4766 AR I               1112
       93        4005.2415 FeI                   0
       94        4013.8567 AR I                  0
       95        4026.1912 HE I               5307
       96        4044.4182 AR I               4750
       97        4045.8130 FeI                4750
       98        4063.5940 FeI                1828
       99        4072.0046 AR I               4036
      100        4103.9121 AR I               1088
      101        4118.5444 FeI                 499
      102        4131.7236 AR I               3162
      103        4143.8687 FeI                1429
      104        4158.5903 AR I               6464
      105        4181.8838 AR I                  0
      106        4191.0298 AR I              12626
      107        4198.3037 FeI               12626
      108        4200.6743 AR I              12626
      109        4216.1826 FeI                1985
      110        4222.6372 FeI                1760
      111        4228.1582 AR I               2021
      112        4237.2300 AR I               2189
      113        4259.3618 AR I               7193
      114        4271.7593 FeI                7054
      115        4277.5283 AR I               8264
      116        4294.1245 FeI                   0
      117        4300.1011 AR I               3270
      118        4307.9014 FeI                3270
      119        4315.0835 FeI                1121
      120        4325.7617 FeI                6259
      121        4333.5610 AR I               6162
      122        4348.0640 AR I               5627
      123        4371.3599 AR I               6991
      124        4375.9292 FeI                6937
      125        4383.5444 FeI                6937
      126        4387.9282 HE I               6991
      127        4400.9863 AR I               2516
      128        4404.7500 FeI                2516
      129        4415.1221 FeI                1264
      130        4427.3037 FeI                6617
      131        4461.6523 FeI                   0
      132        4466.5508 FeI                6845
      133        4471.4790 HE I               6845
      134        4489.7388 FeI                   0
      135        4510.7334 AR I               2292
      136        4528.6133 FeI                 890
      137        4530.5522 FeI                 890
      138        4545.0518 AR I               6691
      139        4579.3496 AR I               5040
      140        4589.8979 AR I               5040
      141        4609.5674 AR I               7826
      142        4628.4409 AR I                574
      143        4637.2329 AR I                574
      144        4647.4331 FeI                   0
      145        4657.9014 AR I               5265
      146        4702.3262 AR I               1714
      147        4713.1455 HE I               1715
      148        4726.9102 AR I               4804
      149        4735.9058 AR I               4804
      150        4764.8647 AR I               9186
      151        4806.0205 AR I               3086
      152        4847.8096 AR I               1695
      153        4859.7407 FeI                 421
      154        4879.8633 AR I               6677
      155        4891.4917 FeI                   0
      156        4920.5020 FeI                3395
      157        4921.9312 HE I               3395
      158        4957.5967 FeI                   0
      159        4965.0796 AR I               3078
      160        5006.1177 FeI                 413
      161        5012.0674 FeI                9268
      162        5015.6797 HE I               9268
      163        5047.7378 HE I               1217
      164        5051.6338 FeI                   0
      165        5083.3379 FeI                 780
      166        5090.4951 AR I                  0
      167        5110.3848 FeI                1189
      168        5151.3950 AR I                  0
      169        5162.2847 AR I                  0
      170        5167.4873 FeI                2770
      171        5171.5952 FeI                2770
      172        5187.7461 AR I               1419
      173        5194.9414 FeI                   0
      174        5221.2710 AR I                780
      175        5227.1699 FeI                1538
      176        5232.9395 FeI                1594
      177        5252.7881 AR I                  0
      178        5266.5547 FeI                2497
      179        5269.5366 FeI                2497
      180        5283.6206 FeI                   0
      181        5302.2988 FeI                 357
      182        5324.1782 FeI                   0
      183        5328.0376 FeI                3171
      184        5341.0234 FeI                   0
      185        5371.4893 FeI                1010
      186        5397.1270 FeI                   0
      187        5400.5620 NeI                3235
      188        5405.7739 FeI                3235
      189        5415.1997 FeI                   0
      190        5421.3516 AR I                510
      191        5424.0684 FeI                 448
      192        5429.6953 FeI                 918
      193        5434.5229 FeI                 918
      194        5446.8936 FeI                1020
      195        5451.6519 AR I               1020
      196        5455.6089 FeI                1020
      197        5495.8740 AR                 1464
