wavelength(AA), zenithal_extinction(mag)
3196, 0.9805
3207, 1.064
3295, 0.8867
3301, 0.8223
3303, 0.8763
3310, 0.8368
3391, 0.7057
3400, 0.7265
3401, 0.7639
3489, 0.6120
3499, 0.6785
3501, 0.7325
3507, 0.6348
3507, 0.6556
3566, 0.6326
3607, 0.5972
3607, 0.6263
3608, 0.6346
3640, 0.5680
3647, 0.5160
3647, 0.5430
3697, 0.5284
3707, 0.5554
3741, 0.5657
3746, 0.4701
3747, 0.5096
3782, 0.5220
3789, 0.4721
3847, 0.4387
3848, 0.4907
3858, 0.5384
3956, 0.4364
3965, 0.4489
4005, 0.3885
4006, 0.4010
4006, 0.4134
4006, 0.4217
4064, 0.3863
4065, 0.3967
4140, 0.3716
4149, 0.4111
4154, 0.2905
4205, 0.3112
4213, 0.2924
4216, 0.3797
4248, 0.3381
4254, 0.2591
4257, 0.3568
4306, 0.3047
4307, 0.3442
4315, 0.3172
4399, 0.2983
4399, 0.3128
4400, 0.3482
4401, 0.3586
4408, 0.3253
4440, 0.2462
4459, 0.3231
4490, 0.2378
4500, 0.2939
4508, 0.2690
4509, 0.3085
4509, 0.3292
4592, 0.2813
4608, 0.2313
4617, 0.2625
4702, 0.2831
4709, 0.2457
4801, 0.2226
4802, 0.2351
4895, 0.2495
4910, 0.2079
4911, 0.2224
5003, 0.2097
5004, 0.2284
5004, 0.2451
5005, 0.2866
5011, 0.1973
5012, 0.2180
5105, 0.2407
5113, 0.2220
5213, 0.1823
5223, 0.2238
5314, 0.1925
5315, 0.2029
5315, 0.2153
5424, 0.1964
5499, 0.1547
5517, 0.2191
5602, 0.2418
5608, 0.1503
5710, 0.1482
5711, 0.1799
5717, 0.1915
5800, 0.2303
5810, 0.1667
5817, 0.1840
5898, 0.1593
5906, 0.2344
5911, 0.2185
5999, 0.2270
6003, 0.1591
6009, 0.1779
6108, 0.1300
6108, 0.1401
6109, 0.1733
6191, 0.1674
6201, 0.1183
6219, 0.1283
6300, 0.1080
6307, 0.1397
6307, 0.1541
6308, 0.1657
6308, 0.1946
6400, 0.1236
6400, 0.1395
6401, 0.1626
6495, 0.1855
6512, 0.1378
6704, 0.1100
6705, 0.1447
6898, 0.1457
6904, 0.1630
7101, 0.09620
7102, 0.1222
7112, 0.06298
7295, 0.09291
7499, 0.06939
7500, 0.1141
7681, 0.09788
7692, 0.06610
7693, 0.1166
7885, 0.06715
8095, 0.05372
8487, 0.05435
8692, 0.04670
9097, 0.08050
